epoch,lr-Adam,mae,r2,rmse,step,val_mae,val_r2,val_rmse
,0.005,,,,0,,,
0,,88.88960266113281,-1.6532573699951172,109.71214294433594,4,,,
0,,54.148616790771484,-0.07255041599273682,70.47862243652344,9,,,
0,,65.08138275146484,-0.530820369720459,85.03279876708984,14,,,
0,,,,,15,75.75435638427734,-3.476311445236206,89.29839324951172
,0.0049,,,,16,,,
1,,53.667945861816406,0.17778712511062622,66.2916030883789,19,,,
1,,52.7786979675293,0.15821534395217896,72.49561309814453,24,,,
1,,45.29357147216797,0.2045409083366394,56.842002868652344,29,,,
1,,,,,31,70.688232421875,-3.6184580326080322,83.96739196777344
,0.004802,,,,32,,,
2,,45.39605712890625,0.27410417795181274,59.48337173461914,34,,,
2,,37.468753814697266,0.3661510944366455,48.41135787963867,39,,,
2,,43.495628356933594,0.35426855087280273,57.488441467285156,44,,,
2,,,,,47,73.87640380859375,-4.128781318664551,88.69153594970703
,0.0047059599999999995,,,,48,,,
3,,47.09198760986328,-0.04201698303222656,63.68164825439453,49,,,
3,,44.186187744140625,0.37689346075057983,59.48040008544922,54,,,
3,,45.37378692626953,0.32698339223861694,60.542144775390625,59,,,
3,,,,,63,69.24275207519531,-3.9017767906188965,83.18384552001953
,0.004611840799999999,,,,64,,,
4,,43.719329833984375,0.26302003860473633,62.47814178466797,64,,,
4,,44.438270568847656,0.2687721848487854,58.391788482666016,69,,,
4,,45.47037124633789,0.22007715702056885,66.04692077636719,74,,,
4,,42.821746826171875,0.24241453409194946,66.07231140136719,79,,,
4,,,,,79,67.87651824951172,-3.851435661315918,82.07262420654297
,0.004519603983999999,,,,80,,,
5,,50.87733840942383,0.07176762819290161,76.20867919921875,84,,,
5,,35.98173522949219,0.33724087476730347,48.97211456298828,89,,,
5,,31.191173553466797,0.5712172389030457,41.152244567871094,94,,,
5,,,,,95,66.57106018066406,-3.816230297088623,80.49201202392578
,0.004429211904319999,,,,96,,,
6,,35.499839782714844,0.4301103949546814,51.29830551147461,99,,,
6,,39.45094299316406,0.34461402893066406,56.46201705932617,104,,,
6,,40.77965545654297,0.16872650384902954,54.82488250732422,109,,,
6,,,,,111,67.72979736328125,-3.8738245964050293,81.72306823730469
,0.004340627666233598,,,,112,,,
7,,40.96177291870117,0.3238769769668579,57.89063262939453,114,,,
7,,36.655242919921875,0.18525421619415283,56.812931060791016,119,,,
7,,39.394866943359375,0.38668757677078247,56.246402740478516,124,,,
7,,,,,127,66.18977355957031,-3.432892084121704,79.47974395751953
,0.004253815112908926,,,,128,,,
8,,37.396629333496094,0.5015897750854492,50.34462356567383,129,,,
8,,38.28068923950195,0.3842504620552063,57.810691833496094,134,,,
8,,41.68463134765625,0.305094838142395,56.10496520996094,139,,,
8,,,,,143,68.31099700927734,-3.8394174575805664,81.75930786132812
,0.004168738810650748,,,,144,,,
9,,41.570701599121094,0.2812346816062927,62.00638198852539,144,,,
9,,34.897247314453125,0.5107593536376953,46.63608932495117,149,,,
9,,39.5042610168457,0.3316638469696045,57.925174713134766,154,,,
9,,33.37975311279297,0.6317965388298035,42.83510971069336,159,,,
9,,,,,159,64.59152221679688,-3.617324113845825,78.16632080078125
,0.004085364034437733,,,,160,,,
10,,38.07463455200195,0.4365077018737793,53.50479507446289,164,,,
10,,41.354400634765625,0.36868077516555786,61.484989166259766,169,,,
10,,34.00017166137695,0.5639204978942871,43.34523391723633,174,,,
10,,,,,175,71.4051284790039,-4.173610687255859,85.68559265136719
,0.0040036567537489786,,,,176,,,
