epoch,lr-Adam,mae,r2,rmse,step,val_mae,val_r2,val_rmse
,0.001,,,,0,,,
0,,79.8999252319336,-1.2405941486358643,103.0400390625,19,,,
0,,69.50249481201172,-0.5325515270233154,85.15552520751953,39,,,
0,,60.22399139404297,0.014197707176208496,77.30426788330078,59,,,
0,,,,,77,44.624820709228516,-0.09082719683647156,56.781517028808594
,0.00095,,,,78,,,
1,,40.47679138183594,0.3223598599433899,51.068538665771484,79,,,
1,,52.332759857177734,-0.06843841075897217,68.49358367919922,99,,,
1,,56.919281005859375,0.07802051305770874,73.58745574951172,119,,,
1,,43.1882438659668,0.13744229078292847,55.93626403808594,139,,,
1,,,,,155,42.48133087158203,0.02714250609278679,53.90067672729492
,0.0009025,,,,156,,,
2,,59.28774642944336,0.05634570121765137,72.89790344238281,159,,,
2,,49.61036682128906,-0.3959658145904541,65.64556884765625,179,,,
2,,44.22720718383789,0.26159000396728516,63.19822311401367,199,,,
2,,41.581825256347656,0.3592216968536377,56.72005081176758,219,,,
2,,,,,233,44.364349365234375,-0.06835157424211502,56.01681900024414
,0.000857375,,,,234,,,
3,,33.94728469848633,0.42118924856185913,43.91354751586914,239,,,
3,,49.47138977050781,-1.0385093688964844,77.22576141357422,259,,,
3,,50.2548828125,0.0792573094367981,60.81883239746094,279,,,
3,,50.42176055908203,-0.031652092933654785,64.88258361816406,299,,,
3,,,,,311,40.48167037963867,0.019519953057169914,53.5352783203125
,0.0008145062499999999,,,,312,,,
4,,44.990177154541016,0.3997921943664551,55.24845504760742,319,,,
4,,48.592018127441406,0.13330256938934326,63.78581237792969,339,,,
4,,48.5428352355957,0.14672613143920898,62.69572830200195,359,,,
4,,43.57814025878906,0.39015036821365356,58.631439208984375,379,,,
4,,,,,389,40.75413513183594,0.05748670548200607,52.66586685180664
,0.0007737809374999998,,,,390,,,
5,,41.678897857666016,0.2318459153175354,55.632564544677734,399,,,
5,,54.136749267578125,-0.01622176170349121,69.89797973632812,419,,,
5,,35.53920364379883,0.5035684704780579,48.25069808959961,439,,,
5,,46.27061462402344,0.18771511316299438,66.30095672607422,459,,,
5,,,,,467,41.768001556396484,-0.03582976385951042,54.604881286621094
,0.0007350918906249997,,,,468,,,
6,,45.6904296875,0.07384854555130005,53.01137161254883,479,,,
6,,39.423118591308594,0.3340325355529785,48.567832946777344,499,,,
6,,40.090946197509766,0.25719696283340454,62.504852294921875,519,,,
6,,45.96310806274414,0.20123225450515747,58.74164581298828,539,,,
6,,,,,545,39.670536041259766,0.09101906418800354,51.824127197265625
,0.0006983372960937497,,,,546,,,
7,,48.177001953125,0.06623566150665283,68.80257415771484,559,,,
7,,41.926727294921875,0.40601402521133423,56.864986419677734,579,,,
7,,54.43741989135742,0.19457340240478516,66.83362579345703,599,,,
7,,39.46361541748047,0.4105319380760193,55.870323181152344,619,,,
7,,,,,623,39.29319381713867,0.045594945549964905,52.44180679321289
,0.0006634204312890621,,,,624,,,
8,,40.49631118774414,-0.09489774703979492,56.80550003051758,639,,,
8,,40.41002655029297,0.370918869972229,50.13465118408203,659,,,
8,,36.912471771240234,0.0727878212928772,47.81014633178711,679,,,
8,,36.93717956542969,0.17153912782669067,59.71694564819336,699,,,
8,,,,,701,39.00682067871094,0.098482646048069,51.08424758911133
,0.000630249409724609,,,,702,,,
9,,38.250797271728516,0.32911819219589233,53.72467041015625,719,,,
9,,35.187801361083984,0.4960000514984131,42.93357467651367,739,,,
9,,38.639739990234375,0.41827642917633057,47.699951171875,759,,,
9,,43.34501266479492,-0.17244529724121094,60.821048736572266,779,,,
9,,,,,779,39.76332092285156,0.017740774899721146,52.95001983642578
,0.0005987369392383785,,,,780,,,
10,,37.13397216796875,0.436007559299469,46.14611053466797,799,,,
10,,37.52597427368164,0.3268137574195862,52.300148010253906,819,,,
10,,29.030418395996094,0.6066229343414307,38.67041015625,839,,,
10,,,,,857,38.99235153198242,0.07511492073535919,51.410709381103516
,0.0005688000922764595,,,,858,,,
11,,45.25153350830078,0.24449610710144043,62.86170959472656,859,,,
11,,40.417457580566406,0.4044680595397949,54.86854934692383,879,,,
11,,32.12751388549805,0.4902970790863037,45.21682357788086,899,,,
11,,42.074161529541016,0.11643803119659424,59.102882385253906,919,,,
11,,,,,935,38.44493865966797,0.08655144274234772,50.78729248046875
,0.0005403600876626365,,,,936,,,
12,,45.01387405395508,0.5422998666763306,56.27861404418945,939,,,
12,,48.30169677734375,0.13340532779693604,67.24555206298828,959,,,
12,,28.643932342529297,0.6074008941650391,38.03508758544922,979,,,
12,,36.84342575073242,0.21586740016937256,53.75025939941406,999,,,
12,,,,,1013,38.19297790527344,0.1114063411951065,50.139251708984375
,0.0005133420832795047,,,,1014,,,
13,,34.73162078857422,0.5172118544578552,49.494876861572266,1019,,,
13,,40.28981018066406,0.42462158203125,59.83298110961914,1039,,,
13,,34.51083755493164,0.4598485231399536,46.12559127807617,1059,,,
13,,39.09212112426758,-0.27590811252593994,50.416236877441406,1079,,,
13,,,,,1091,37.634639739990234,0.11330676823854446,50.15218734741211
,0.00048767497911552944,,,,1092,,,
14,,43.78947448730469,0.0736011266708374,57.149444580078125,1099,,,
14,,43.205810546875,0.15393036603927612,59.09827423095703,1119,,,
14,,33.39643096923828,0.5998404026031494,44.737857818603516,1139,,,
14,,43.06706619262695,-0.09372460842132568,57.42607498168945,1159,,,
14,,,,,1169,37.473609924316406,0.11372698843479156,49.817970275878906
